filename,person_id,name,age,last_seen_location,last_seen_date,contact
0.jpg,P001,Cahyo Rajagukguk,33,Salatiga,2026-04-16,08367310532
0_(2).jpg,P002,Raihan Aziz,51,Ambon,2025-12-20,08230286973
0_(3).jpg,P003,Gilang Abdullah,42,Cilegon,2026-06-02,08242800141
0_(4).jpg,P004,Rendi Ali,56,Lubuklinggau,2023-04-05,08221611009
1.jpg,P005,Yuda Cahyono,38,Magelang,2023-10-31,08874471099
10.jpg,P006,Joko Mahendra,46,Salatiga,2023-06-10,08329620427
10_(2).jpg,P007,Reni Raharjo,40,Kulon Progo,2025-10-10,08156710162
10_(3).jpg,P008,Dian Jaya,17,Bangli,2026-02-02,08743658126
10_(4).jpg,P009,Ratih Panjaitan,26,Bogor,2024-08-17,08997785477
10_(5).jpg,P010,Hafiz Basuki,56,Singaraja,2024-07-01,08941811301
11.jpg,P011,Tri Winarno,34,Tasikmalaya,2025-11-25,08716512673
11_(2).jpg,P012,Agus Prasetya,54,Merauke,2026-03-11,08789328223
11_(3).jpg,P013,Siska Pamungkas,16,Tegal,2025-03-03,08813041744
11_(4).jpg,P014,Indra Wibisono,23,Parepare,2025-01-01,08832682601
11_(5).jpg,P015,Wayan Pradipta,45,Depok,2023-01-14,08260410163
12.jpg,P016,Bayu Hartono,39,Purwokerto,2024-06-12,08583577507
12_(2).jpg,P017,Sugeng Wibisono,31,Singaraja,2026-06-02,08839721209
12_(3).jpg,P018,Fitri Jamaludin,44,Jakarta Timur,2024-11-11,08270140304
12_(4).jpg,P019,Bambang Ismail,55,Ngawi,2024-06-12,08386358420
12_(5).jpg,P020,Nur Kusuma,51,Banyumas,2025-02-14,08766050093
13.jpg,P021,Rina Supardi,33,Sukabumi,2023-08-22,08371997896
13_(2).jpg,P022,Setyo Rahardjo,32,Majalengka,2026-01-18,08841640303
13_(3).jpg,P023,Deni Maulana,50,Kediri,2023-07-07,08556304819
13_(4).jpg,P024,Ratih Manurung,58,Payakumbuh,2025-09-09,08384808748
13_(5).jpg,P025,Raditya Fajar,38,Magelang,2026-02-24,08679665631
14.jpg,P026,Yudi Mulyana,57,Trenggalek,2025-02-14,08864144003
14_(2).jpg,P027,Raditya Ismail,17,Cilacap,2024-08-19,08739917753
14_(3).jpg,P028,Mira Saputro,32,Medan,2025-08-08,08658437106
14_(4).jpg,P029,Nurul Darmawan,40,Dumai,2024-06-12,08536517979
14_(5).jpg,P030,Slamet Budiman,58,Sukabumi,2025-10-28,08331064567
15.jpg,P031,Fajar Damanik,47,Buleleng,2024-11-11,08275204045
15_(2).jpg,P032,Agung Rahardjo,17,Tangerang Selatan,2025-10-10,08534238257
15_(3).jpg,P033,Komang Sugiyanto,41,Palu,2026-01-05,08530494042
15_(4).jpg,P034,Indah Pranowo,50,Banyuwangi,2026-04-16,08791806902
15_(5).jpg,P035,Ida Bagus Hariyadi,26,Tuban,2023-12-25,08698974886
16.jpg,P036,Muhamad Mulyana,49,Bandar Lampung,2025-09-09,08890521707
